"Name","Website"
"Hutt City Council","http://www.huttcity.govt.nz/"
"Invercargill City Council","http://www.icc.govt.nz/"
"Napier City Council","http://www.napier.govt.nz"
"Nelson City Council","http://www.nelsoncitycouncil.co.nz"
"Porirua City Council","http://www.pcc.govt.nz/"
"Palmerston North City Council","http://www.pncc.govt.nz"
"Upper Hutt City Council","http://www.upperhuttcity.com"
"Wellington City Council","http://www.Wellington.govt.nz/"
"Christchurch City Council","http://www.ccc.govt.nz/"
"Dunedin City Council","http://www.dunedin.govt.nz/"
"Hamilton City Council","http://www.hamilton.co.nz/"
"Tauranga City Council","http://www.tauranga.govt.nz/"
"Central Otago District Council","http://www.codc.govt.nz"
"Kaikoura District Council","http://www.kaikoura.govt.nz"
"Horowhenua District Council","http://www.horowhenua.govt.nz"
"Hurunui District Council","http://www.hurunui.govt.nz/"
"Buller District Council","http://www.bullerdc.govt.nz"
"Carterton District Council","http://www.cartertondc.co.nz/"
"Central Hawke's Bay District Council","http://www.chbdc.govt.nz/"
"Ashburton District Council","http://www.ashburtondc.govt.nz"
"Kapiti Coast District Council","http://www.kapiticoast.govt.nz/"
"Hauraki District Council","http://www.hauraki-dc.govt.nz"
"Kaipara District Council","http://www.kaipara.govt.nz/"
"Kawerau District Council","http://www.kaweraudc.govt.nz"
"Manawatu District Council","http://www.mdc.govt.nz/"
"Marlborough District Council","http://www.marlborough.govt.nz"
"Masterton District Council","http://www.mstn.govt.nz"
"Matamata-Piako District Council","http://www.mpdc.govt.nz/"
"New Plymouth District Council","http://www.newplymouthnz.com"
"Tararua District Council","http://www.tararuadc.govt.nz"
"Opotiki District Council","http://www.odc.govt.nz"
"Otorohanga District Council","http://www.otodc.govt.nz"
"Rangitikei District Council","http://www.rangitikei.govt.nz"
"Ruapehu District Council","http://www.ruapehudc.govt.nz"
"Selwyn District Council","http://www.selwyn.govt.nz/"
"Queenstown-Lakes District Council","http://www.qldc.govt.nz"
"Rotorua District Council","http://www.rdc.govt.nz/"
"South Taranaki District Council","http://www.southtaranaki.com/"
"South Waikato District Council","http://www.southwaikato.govt.nz"
"Southland District Council","http://www.southlanddc.govt.nz"
"Stratford District Council","http://www.stratford.govt.nz"
"South Wairarapa District Council","http://www.swdc.govt.nz/"
"Tasman District Council","http://www.tasman.govt.nz/"
"Taupo District Council","http://www.taupo.govt.nz/"
"Thames-Coromandel District Council","http://www.tcdc.govt.nz"
"Timaru District Council","http://www.timaru.govt.nz"
"Waikato District Council","http://www.waikatodistrict.govt.nz"
"Waimakariri District Council","http://www.waimakariri.govt.nz"
"Waimate District Council","http://www.waimatedc.govt.nz"
"Waipa District Council","http://www.waipadc.govt.nz"
"Wairoa District Council","http://www.wairoadc.govt.nz/"
"Waitaki District Council","http://www.waitaki.govt.nz"
"Waitomo District Council","http://www.waitomo.govt.nz/"
"Wanganui District Council","http://www.wanganui.govt.nz/"
"Westland District Council","http://www.westlanddc.govt.nz"
"Whakatane District Council","http://www.whakatane.govt.nz/"
"Whangarei District Council","http://www.wdc.govt.nz"
"Gore District Council","http://www.goredc.govt.nz"
"Grey District Council","http://www.greydc.govt.nz"
"Hastings District Council","http://www.hastingsdc.govt.nz/"
"Clutha District Council","http://www.cluthadc.govt.nz"
"Gisborne District Council","http://www.gdc.govt.nz"
"MacKenzie District Council","http://www.mackenzie.govt.nz"
"Far North District Council","http://www.fndc.govt.nz/"
"Western Bay of Plenty District Council","http://www.westernbay.govt.nz/"
"Chatham Islands Council","http://www.cic.govt.nz"
"Auckland Council","http://www.aucklandcouncil.govt.nz"
